id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Cornell;McCullough;Aaliyah22@yahoo.com;supplement;2024-02-10T16:03:23;14107;29588
2;Dasia;Pollich;Madison.Grimes83@yahoo.com;stash;2024-02-10T05:16:54;29932;14931
3;Jaylon;Johnston;Deon.Kautzer@yahoo.com;scale gosh overstock;2024-02-10T04:41:53;12528;29787
4;Arthur;Beier;Dagmar52@gmail.com;until if;2024-02-10T04:51:17;12333;22528
5;Everett;Schmeler;Viola.Wilkinson75@hotmail.com;boo when;2024-02-10T01:28:25;16164;13021
6;Nola;Hayes;Enos_Beer@gmail.com;mature moonwalk;2024-02-10T02:20:05;4098;32690
7;Chelsie;Lakin;Walter95@gmail.com;expert;2024-02-10T05:58:11;9249;14404
8;Jackeline;Strosin;Pascale.Mertz40@gmail.com;oh;2024-02-10T14:48:46;5707;4587
9;Seamus;Witting;Margarete6@gmail.com;urge;2024-02-10T05:09:04;6169;27150
10;Joshua;Conroy;Mallie70@gmail.com;honest like;2024-02-10T02:16:59;4695;1465
